invoice_record_id,invoice_number,invoice_date,vendor_name,gstin,taxable_value,cgst,sgst,igst,total
INVREC-00017,INV-26-00017,2026-07-24,Bharat Cloud Services,27BCDEF2345G1Z6,23870.13,2148.31,2148.31,0.00,28166.75
INVREC-00018,INV-26-00018,2026-07-10,Cedar Industrial Supplies,29CDEFG3456H1Z7,80248.96,7222.41,7222.41,0.00,94693.77
INVREC-00019,INV-26-00019,2026-07-06,Delta Business Systems,07DEFGH4567J1Z8,68877.69,6198.99,6198.99,0.00,81275.68
INVREC-00020,INV-26-00020,2026-07-01,Evergreen Packaging,06EFGHI5678K1Z9,53052.98,4774.77,4774.77,0.00,62602.52
INVREC-00026,INV-26-00026,2026-07-09,Apex Office Solutions,24ABCDE1234F1Z5,8158.62,734.28,734.28,0.00,9627.17
INVREC-00027,INV-26-00027,2026-07-02,Bharat Cloud Services,27BCDEF2345G1Z6,16251.72,1462.65,1462.65,0.00,19177.03
INVREC-00028,INV-26-00028,2026-07-10,Cedar Industrial Supplies,29CDEFG3456H1Z7,79209.21,7128.83,7128.83,0.00,93466.87
INVREC-00029,INV-26-00029,2026-07-23,Delta Business Systems,07DEFGH4567J1Z8,48003.75,4320.34,4320.34,0.00,56644.42
INVREC-00030,INV-26-00030,2026-07-23,Evergreen Packaging,06EFGHI5678K1Z9,66530.52,5987.75,5987.75,0.00,78506.01
INVREC-00031,INV-26-00031,2026-07-05,Apex Office Solutions,24ABCDE1234F1Z5,55320.86,4978.88,4978.88,0.00,65278.62
INVREC-00032,INV-26-00032,2026-07-03,Bharat Cloud Services,27BCDEF2345G1Z6,41423.32,3728.10,3728.10,0.00,48879.52
INVREC-00033,INV-26-00033,2026-07-15,Cedar Industrial Supplies,29CDEFG3456H1Z7,45228.90,4070.60,4070.60,0.00,53370.10
INVREC-00034,INV-26-00034,2026-07-13,Delta Business Systems,07DEFGH4567J1Z8,15679.97,1411.20,1411.20,0.00,18502.37
INVREC-00035,INV-26-00035,2026-07-21,Evergreen Packaging,06EFGHI5678K1Z9,37029.72,3332.67,3332.67,0.00,43695.07
INVREC-00036,INV-26-00036,2026-07-22,Apex Office Solutions,24ABCDE1234F1Z5,54551.07,4909.60,4909.60,0.00,64370.26
INVREC-00037,INV-26-00037,2026-07-30,Bharat Cloud Services,27BCDEF2345G1Z6,59364.70,5342.82,5342.82,0.00,70050.35
INVREC-00038,INV-26-00038,2026-07-12,Cedar Industrial Supplies,29CDEFG3456H1Z7,34795.05,3131.55,3131.55,0.00,41058.16
INVREC-00039,INV-26-00039,2026-07-03,Delta Business Systems,07DEFGH4567J1Z8,7415.25,667.37,667.37,0.00,8749.99
INVREC-00040,INV-26-00040,2026-07-25,Evergreen Packaging,06EFGHI5678K1Z9,21475.61,1932.80,1932.80,0.00,25341.22
INVREC-00041,INV-26-00041,2026-07-15,Apex Office Solutions,24ABCDE1234F1Z5,24725.75,2225.32,2225.32,0.00,29176.38
INVREC-00042,INV-26-00042,2026-07-03,Bharat Cloud Services,27BCDEF2345G1Z6,23050.47,2074.54,2074.54,0.00,27199.55
INVREC-00043,INV-26-00043,2026-07-26,Cedar Industrial Supplies,29CDEFG3456H1Z7,19590.35,1763.13,1763.13,0.00,23116.61
INVREC-00044,INV-26-00044,2026-07-10,Delta Business Systems,07DEFGH4567J1Z8,58522.14,5266.99,5266.99,0.00,69056.12
INVREC-00045,INV-26-00045,2026-07-06,Evergreen Packaging,06EFGHI5678K1Z9,57628.68,5186.58,5186.58,0.00,68001.84
INVREC-00046,INV-26-00046,2026-07-13,Apex Office Solutions,24ABCDE1234F1Z5,54181.86,4876.37,4876.37,0.00,63934.60
INVREC-00047,INV-26-00047,2026-07-31,Bharat Cloud Services,27BCDEF2345G1Z6,41021.33,3691.92,3691.92,0.00,48405.17
INVREC-00048,INV-26-00048,2026-07-11,Cedar Industrial Supplies,29CDEFG3456H1Z7,64882.42,5839.42,5839.42,0.00,76561.25
INVREC-00049,INV-26-00049,2026-07-31,Delta Business Systems,07DEFGH4567J1Z8,56984.04,5128.56,5128.56,0.00,67241.17
INVREC-00050,INV-26-00050,2026-07-23,Evergreen Packaging,06EFGHI5678K1Z9,58112.41,5230.12,5230.12,0.00,68572.64
INVREC-00051,INV-26-00051,2026-07-28,Apex Office Solutions,24ABCDE1234F1Z5,5421.36,487.92,487.92,0.00,6397.20
INVREC-00052,INV-26-00052,2026-07-26,Bharat Cloud Services,27BCDEF2345G1Z6,35066.42,3155.98,3155.98,0.00,41378.38
INVREC-00053,INV-26-00053,2026-07-04,Cedar Industrial Supplies,29CDEFG3456H1Z7,8021.04,721.89,721.89,0.00,9464.83
INVREC-00054,INV-26-00054,2026-07-06,Delta Business Systems,07DEFGH4567J1Z8,6242.05,561.78,561.78,0.00,7365.62
INVREC-00055,INV-26-00055,2026-07-06,Evergreen Packaging,06EFGHI5678K1Z9,9259.86,833.39,833.39,0.00,10926.64
INVREC-00056,INV-26-00056,2026-07-26,Apex Office Solutions,24ABCDE1234F1Z5,77135.16,6942.16,6942.16,0.00,91019.49
INVREC-00057,INV-26-00057,2026-07-06,Bharat Cloud Services,27BCDEF2345G1Z6,31687.59,2851.88,2851.88,0.00,37391.36
INVREC-00058,INV-26-00058,2026-07-26,Cedar Industrial Supplies,29CDEFG3456H1Z7,41882.42,3769.42,3769.42,0.00,49421.26
INVREC-00059,INV-26-00059,2026-07-06,Delta Business Systems,07DEFGH4567J1Z8,14582.99,1312.47,1312.47,0.00,17207.93
INVREC-00060,INV-26-00060,2026-07-09,Evergreen Packaging,06EFGHI5678K1Z9,56926.58,5123.39,5123.39,0.00,67173.37
INVREC-00061,INV-26-00061,2026-07-20,Apex Office Solutions,24ABCDE1234F1Z5,20149.45,1813.45,1813.45,0.00,23776.35
INVREC-00062,INV-26-00062,2026-07-03,Bharat Cloud Services,27BCDEF2345G1Z6,77108.57,6939.77,6939.77,0.00,90988.11
INVREC-00063,INV-26-00063,2026-07-10,Cedar Industrial Supplies,29CDEFG3456H1Z7,15602.42,1404.22,1404.22,0.00,18410.85
INVREC-00064,INV-26-00064,2026-07-11,Delta Business Systems,07DEFGH4567J1Z8,65096.73,5858.71,5858.71,0.00,76814.14
INVREC-00065,INV-26-00065,2026-07-03,Evergreen Packaging,06EFGHI5678K1Z9,55210.42,4968.94,4968.94,0.00,65148.30
INVREC-00066,INV-26-00066,2026-07-01,Apex Office Solutions,24ABCDE1234F1Z5,52849.60,4756.46,4756.46,0.00,62362.53
INVREC-00067,INV-26-00067,2026-07-19,Bharat Cloud Services,27BCDEF2345G1Z6,30747.76,2767.30,2767.30,0.00,36282.36
INVREC-00068,INV-26-00068,2026-07-11,Cedar Industrial Supplies,29CDEFG3456H1Z7,31425.11,2828.26,2828.26,0.00,37081.63
INVREC-00069,INV-26-00069,2026-07-02,Delta Business Systems,07DEFGH4567J1Z8,13890.95,1250.19,1250.19,0.00,16391.32
INVREC-00070,INV-26-00070,2026-07-26,Evergreen Packaging,06EFGHI5678K1Z9,64336.80,5790.31,5790.31,0.00,75917.42
INVREC-00071,INV-26-00071,2026-07-30,Apex Office Solutions,24ABCDE1234F1Z5,79758.62,7178.28,7178.28,0.00,94115.17
INVREC-00072,INV-26-00072,2026-07-04,Bharat Cloud Services,27BCDEF2345G1Z6,2358.97,212.31,212.31,0.00,2783.59
INVREC-00073,INV-26-00073,2026-07-03,Cedar Industrial Supplies,29CDEFG3456H1Z7,36715.86,3304.43,3304.43,0.00,43324.72
INVREC-00074,INV-26-00074,2026-07-08,Delta Business Systems,07DEFGH4567J1Z8,32756.77,2948.11,2948.11,0.00,38652.99
INVREC-00075,INV-26-00075,2026-07-04,Evergreen Packaging,06EFGHI5678K1Z9,66028.28,5942.55,5942.55,0.00,77913.37
INVREC-00076,INV-26-00076,2026-07-08,Apex Office Solutions,24ABCDE1234F1Z5,44550.71,4009.56,4009.56,0.00,52569.84
INVREC-00077,INV-26-00077,2026-07-28,Bharat Cloud Services,27BCDEF2345G1Z6,23584.30,2122.59,2122.59,0.00,27829.47
INVREC-00078,INV-26-00078,2026-07-07,Cedar Industrial Supplies,29CDEFG3456H1Z7,40143.42,3612.91,3612.91,0.00,47369.24
INVREC-00079,INV-26-00079,2026-07-31,Delta Business Systems,07DEFGH4567J1Z8,42927.74,3863.50,3863.50,0.00,50654.73
INVREC-00080,INV-26-00080,2026-07-15,Evergreen Packaging,06EFGHI5678K1Z9,13752.78,1237.75,1237.75,0.00,16228.28
INVREC-00081,INV-26-00081,2026-07-15,Apex Office Solutions,24ABCDE1234F1Z5,72136.92,6492.32,6492.32,0.00,85121.57
INVREC-00082,INV-26-00082,2026-07-18,Bharat Cloud Services,27BCDEF2345G1Z6,50898.69,4580.88,4580.88,0.00,60060.46
INVREC-00083,INV-26-00083,2026-07-17,Cedar Industrial Supplies,29CDEFG3456H1Z7,66228.86,5960.60,5960.60,0.00,78150.05
INVREC-00084,INV-26-00084,2026-07-30,Delta Business Systems,07DEFGH4567J1Z8,66739.57,6006.56,6006.56,0.00,78752.69
INVREC-00085,INV-26-00085,2026-07-13,Evergreen Packaging,06EFGHI5678K1Z9,23493.39,2114.41,2114.41,0.00,27722.20
INVREC-00086,INV-26-00086,2026-07-16,Apex Office Solutions,24ABCDE1234F1Z5,57187.69,5146.89,5146.89,0.00,67481.48
INVREC-00087,INV-26-00087,2026-07-12,Bharat Cloud Services,27BCDEF2345G1Z6,31567.19,2841.05,2841.05,0.00,37249.28
INVREC-00088,INV-26-00088,2026-07-29,Cedar Industrial Supplies,29CDEFG3456H1Z7,1341.17,120.71,120.71,0.00,1582.58
INVREC-00089,INV-26-00089,2026-07-03,Delta Business Systems,07DEFGH4567J1Z8,30275.34,2724.78,2724.78,0.00,35724.90
INVREC-00090,INV-26-00090,2026-07-18,Evergreen Packaging,06EFGHI5678K1Z9,9903.31,891.30,891.30,0.00,11685.90
INVREC-00091,INV-26-00091,2026-07-25,Apex Office Solutions,24ABCDE1234F1Z5,55461.49,4991.53,4991.53,0.00,65444.56
INVREC-00092,INV-26-00092,2026-07-03,Bharat Cloud Services,27BCDEF2345G1Z6,57597.23,5183.75,5183.75,0.00,67964.73
INVREC-00093,INV-26-00093,2026-07-03,Cedar Industrial Supplies,29CDEFG3456H1Z7,72423.26,6518.09,6518.09,0.00,85459.45
INVREC-00094,INV-26-00094,2026-07-08,Delta Business Systems,07DEFGH4567J1Z8,13928.92,1253.60,1253.60,0.00,16436.13
INVREC-00095,INV-26-00095,2026-07-16,Evergreen Packaging,06EFGHI5678K1Z9,43491.61,3914.24,3914.24,0.00,51320.10
INVREC-00096,INV-26-00096,2026-07-09,Apex Office Solutions,24ABCDE1234F1Z5,68293.81,6146.44,6146.44,0.00,80586.70
INVREC-00097,INV-26-00097,2026-07-23,Bharat Cloud Services,27BCDEF2345G1Z6,16570.14,1491.31,1491.31,0.00,19552.76
INVREC-00098,INV-26-00098,2026-07-03,Cedar Industrial Supplies,29CDEFG3456H1Z7,69606.20,6264.56,6264.56,0.00,82135.32
INVREC-00099,INV-26-00099,2026-07-22,Delta Business Systems,07DEFGH4567J1Z8,41397.47,3725.77,3725.77,0.00,48849.01
INVREC-00100,INV-26-00100,2026-07-04,Evergreen Packaging,06EFGHI5678K1Z9,70620.54,6355.85,6355.85,0.00,83332.24
